标题,内容,评论
组建适老化改造团队,,期待，加油 || 与保险公司什么合作模式哈 || 怎么联系？ || 应届毕业生可以吗 || 中西部看似蓝海一片，实则是片死海。之前在本地民政部门上过班，内陆小城市的工作人员都是得过且过，本职工作都一拖再拖，除非上面指派，不然绝不会引进第三方合作给自己增加工作负担的。 || 曾经设计过老年人康养家具  怎么联系呢 || 有资源能拿到政府的项目吗 || 中西部经济不行，zf财政紧巴巴， || 留个联系方式，我们可以做资源整合。 || 请问怎么联系 || 还招人吗？我有意愿，会设计和策划 || 感觉很有意义 想参与 || 怎么联系？想参与 || 感兴趣，可以联系么 || 1 || 做政府端的项目，要垫资、利润低，如何获利并保障公司健康运营？ || +1，人在上海，愿意加入 || 设计师+1 base上海想加入 || 加油 加油 || 老板您好，斗胆改一字：红利将近→红利将尽 || 文案+1，base江苏 || 大家好 || 护理人员可以吗？在读研，慢性病管理方向 || 我考了适老化评估证，现在是一名适老化评估师。从去年到今年在陆续入户评估，有做全屋适老化改造的，有做局部改造的 || 哈喽，成都适老化改造市场已经开发的不错了！我主攻C端适老化改造，Base 在无锡 || 想进！
有没有适合老人用的视频通话设备？,,
适老化改造书单互换,,
【求助】冬季如何给1.5平的浴室增温,,
妈，今天干嘛了？“没啥。”,,
河南省未来人居和智能科技研发中心（转载）,,
我建了一个 老龄化行业 探索的社群,,
适老化改造课程推荐-爸妈的晚年原来可以这么美,,
老年人冬天身体干燥用什么沐浴露好呢？有什么办法可以解决干燥问题呢？还有有什么办法可以锻炼老年人的脚力，让他们能走路更稳呢？,,"1、个人认为光用沐浴露效果不大，更有效的方法是沐浴后全身抹滋润或者油性较大的的身体乳，因为老人的皮肤较为干燥保水性弱。最好是大瓶装按压式的泵头对老人比较友好，比如300ml的大宝SOD蜜。
如果光用身体乳还是觉得干，可以身体乳+甘油混合涂抹使用，甘油也同样买那种按压泵头款。
关于背部擦不到的问题，沐浴时可以用长条的搓澡巾搓去泥垢，涂抹身体乳时可以用长柄刷子光滑的背面涂上体乳抹到背部，或者跟背部同高的瓷砖面喷点酒精擦出一块干净区域，涂上体乳，用背部上下左右蹭一圈也行^_^。
2、锻炼脚力可以给老人腿上绑沙袋（类似的其他软体负重物件也可），坐着，从下往上抬腿，能与膝齐平算合格，超过膝盖高度算优秀，然后从上往下放腿，慢上慢下，循序渐进，量力而行。
然后在家里绑着沙袋走路，不用刻意，就跟日常行走坐卧一样，让老人习惯沙袋的存在，除非他觉得不便或者吃力了就拿掉。
沙袋先从轻的开始，当老人适应之后逐步加量。
经常这样练习之后，拿掉沙袋再出门，会有身轻如燕的感觉。腿部肌肉得到了刺激和锻炼，走路在速度和稳定度上都会有不错的提升。 || 1 我也是干皮，秋冬减少洗澡次数，洗完马上涂精油和身体乳
2 试试弹力带，循序渐进 || 我觉得呢，老年人可以试一试，晚上泡泡脚，用一个干净的盆，稍微大一点的哈，烧两壶热水，自己觉得能承受的热度就可以，像现在的冬天呢，盆里可以放一些花椒粒（最好用纱布装好封住），水凉了呢，在适当加些热水，泡个20分钟左右，对双脚对腿都挺好的呢，坚持泡腿也会觉得挺轻松的呢 || 身体干燥的话试试沐浴油？但是蛮多老人甚至只肯用肥皂…… || 北方实在是太干了，别说老人了，大部分人都需要用护肤乳，洗一次手就得抹一遍"
适老化之一个老人的衣食住行小贴士（更新中）,,
有几份助听器的内部资料有想要的友友吗？🙌,,
最应该适老化改造的是如今的电视机！我自己每次都要调半天！,,
人的一生，都在为自己的心性模式买单,,
情绪消费_情绪经济_情绪价值设计_既要激发活力也要规范引导（转载）,,
静脉曲张弹力袜使用指南,,
